name	CHE_AS	CHE_IF	HKG_AS	HKG_IF	IND_AS	IND_IF	SWE_AS	SWE_IF	USA_AS	USA_IF
Lactococcus phage P335	0	0	0	0	0	0	0	1	0	0
Lactococcus phage TP901-1	0	0	0	0	0	0	0	1	0	0
Lactococcus piscium	4	7	1	2	1	1	7	1255	1	10
Lactococcus protaetiae	5	3	15	3	5	1	1	15	3	2
Lactococcus raffinolactis	58	788	22	11	7	13	146	33292	12	1110
Lactococcus sp. LG1074	0	0	1	0	0	0	0	1	0	0
Lactococcus sp. LG1267	0	0	1	1	0	0	0	1	0	0
Lactococcus sp. LG606	1	1	0	1	0	0	0	3	0	0
Lactococcus taiwanensis	8	3	18	7	7	5	1	21	1	1
Lacunisphaera limnophila	638	87	117	67	235	63	598	11	113	44
Lacusarxvirus lacusarx	0	0	0	0	0	0	0	0	0	0
Lahexavirus LAh8	0	0	0	0	0	0	0	0	0	0
Lahndsivirus rarus	0	0	0	0	0	0	0	0	0	0
Lake Sarah-associated circular virus-10	0	0	0	1	0	0	0	0	0	0
Lambdapapillomavirus 2	0	0	1	0	1	0	0	0	0	0
Lambdina fiscellaria nucleopolyhedrovirus	0	0	0	0	0	0	0	0	2	1
Lanavirus lana	0	0	0	0	0	0	0	0	0	0
Lancefieldella parvula	0	0	0	0	0	0	0	0	0	0
Lapidilactobacillus dextrinicus	5	3	10	2	4	5	0	3	2	0
Laribacter hongkongensis	34	42	104	289	98	682	38	125	36	239
Larkinella insperata	44	6	130	25	32	12	24	10	23	8
Larkinella sp. IE-0392	38	1	80	16	19	7	15	2	15	7
Lastavirus lasta	0	0	0	0	0	0	0	0	0	0
Lastavirus sopranogao	0	0	0	0	0	0	0	0	0	0
Lates calcarifer birnavirus	0	0	0	0	0	0	0	0	1	0
Latilactobacillus curvatus	13	5	22	4	10	3	5	37	13	5
Latilactobacillus fuchuensis	7	3	11	2	2	0	4	39	4	1
Latilactobacillus graminis	1	0	8	1	3	5	1	4	3	2
Latilactobacillus sakei	7	1	24	19	14	6	7	28	5	30
Latino mammarenavirus	0	0	1	0	0	0	0	0	0	0
Latrobevirus FNU1	0	0	0	0	0	0	0	0	0	0
Laurel Lake laulavirus	0	0	0	0	0	0	0	0	0	0
Lausannevirus	0	0	1	0	3	0	0	1	0	0
Lautropia mirabilis	38	18	84	131	101	23	34	30	32	24
Lavrentievavirus E21	0	0	0	0	0	0	0	0	0	0
Lawsonella clevelandensis	7	3	14	6	18	3	6	8	2	5
Lawsonia intracellularis	9	2	4	3	6	7	7	9	3	2
Lazarusvirus berthold	0	0	0	0	0	0	0	0	0	0
Lazarusvirus kimel	0	0	0	0	0	0	0	0	0	0
Leadbettera azotonutricia	0	0	0	0	0	0	0	0	0	0
Leadbetterella byssophila	0	0	0	0	0	0	0	0	0	0
Leanyer orthobunyavirus	0	0	0	0	0	0	0	0	0	0
Lebriduvirus gastrointestinalis	0	0	0	0	0	0	0	0	0	0
Leclercia adecarboxylata	36	31	155	195	68	90	21	47	28	37
Leclercia pneumoniae	9	4	39	35	15	19	2	2	1	4
Leclercia sp. 119287	0	1	9	5	4	2	1	1	2	3
Leclercia sp. 29361	8	3	21	25	14	10	4	5	2	1
Leclercia sp. Colony189	0	0	7	2	5	2	1	2	0	2
Leclercia sp. G3L	1	2	2	7	2	3	0	1	0	5
Leclercia sp. J807	1	1	11	9	2	6	3	2	0	1
Leclercia sp. LSNIH1	0	0	1	1	2	2	0	1	0	1
Leclercia sp. W17	2	1	8	6	4	5	1	0	0	2
Leclercia sp. W6	1	0	7	8	2	7	0	1	2	0
Ledantevirus fikirini	0	0	0	0	0	0	0	0	0	0
Ledantevirus vaprio	0	0	0	0	0	0	0	0	0	0
Ledantevirus wuhan	0	0	0	0	0	0	0	0	0	0
Lederbergia lenta	11	3	25	6	6	7	2	14	4	3
Leefvirus Leef	0	0	0	0	0	0	0	0	0	0
Leeuwenhoekiella palythoae	17	4	46	6	5	1	8	7	4	3
Leeuwenhoekiella sp. ZYFB001	16	5	30	5	4	6	18	7	2	3
Legionella adelaidensis	8	0	19	7	5	4	8	2	4	1
Legionella anisa	10	4	26	3	9	1	7	1	8	2
Legionella antarctica	12	6	25	4	3	4	13	2	6	1
Legionella cherrii	10	3	22	5	8	4	8	2	4	0
Legionella clemsonensis	9	1	17	11	10	2	11	5	10	1
Legionella endosymbiont of Polyplax serrata	1	0	6	2	6	1	1	2	1	1
Legionella fallonii	0	0	0	0	0	0	0	0	0	0
Legionella geestiana	8	7	34	17	10	3	7	3	4	2
Legionella hackeliae	14	4	18	7	7	2	3	4	7	1
Legionella israelensis	11	4	41	12	14	3	10	8	8	7
Legionella jordanis	6	2	32	7	11	9	3	3	10	4
Legionella lansingensis	10	2	22	8	9	4	9	7	4	1
Legionella longbeachae	12	2	33	11	6	2	8	5	9	4
Legionella lytica	12	6	26	12	5	5	4	4	12	2
Legionella oakridgensis	0	0	0	0	0	0	0	0	0	0
Legionella pneumophila	38	9	102	29	38	19	39	15	24	6
Legionella sainthelensi	14	7	52	10	17	3	15	10	12	5
Legionella sp. MW5194	8	8	45	27	6	2	8	3	8	3
Legionella sp. PC1000	13	4	23	2	3	3	3	4	7	0
Legionella sp. PC997	7	1	25	4	7	7	6	10	5	0
Legionella spiritensis	17	2	54	11	15	4	10	4	3	3
Legionella waltersii	9	1	34	9	6	2	8	5	7	4
Leifsonia shinshuensis	39	10	100	75	56	9	19	20	15	8
Leifsonia sp. 21MFCrub1.1	38	10	76	45	44	10	17	12	15	4
Leifsonia sp. 467MF	0	0	0	1	0	0	0	0	0	0
Leifsonia sp. PS1209	32	9	82	66	48	14	23	12	22	4
Leifsonia sp. ZF2019	43	10	86	71	31	15	21	16	20	10
Leifsonia xyli	10	2	16	9	6	1	4	2	1	1
Leishmania braziliensis	0	0	0	0	0	0	0	0	0	0
Leishmania donovani	2	1	7	7	5	1	0	0	4	1
Leishmania infantum	0	0	0	0	0	0	0	0	0	0
Leishmania major	0	0	0	0	0	0	0	0	0	0
Leishmania mexicana	0	0	0	0	0	0	0	0	0	0
Leishmania panamensis	15	0	32	12	16	6	6	6	5	4
Leishmania RNA virus 1	0	0	0	0	0	0	0	0	0	0
Leisingera aquaemixtae	32	27	185	246	81	18	28	17	17	10
Leisingera caerulea	34	15	217	273	94	22	17	11	21	15
Leisingera methylohalidivorans	0	0	0	0	0	0	0	0	0	0
Leisingera sp. BMJM1	25	10	134	263	43	16	12	11	17	9
Leisingera sp. M523	7	5	21	25	8	5	0	4	0	1
Leisingera sp. M527	4	5	19	32	8	3	4	3	0	7
Leisingera sp. M658	8	0	15	30	11	3	4	4	3	4
Leisingera sp. NJS201	4	2	13	31	9	1	6	3	4	1
Leisingera sp. NJS204	6	3	34	51	16	1	2	6	4	2
Leisingera sp. S132	24	10	105	142	32	11	15	10	7	11
Lelliottia amnigena	35	20	117	107	58	33	20	62	18	45
Lelliottia sp. AC1	3	1	7	4	6	10	3	1	2	4
Lelliottia sp. WB101	2	1	16	10	5	3	2	3	3	3
Leminorella richardii	2	2	35	29	8	10	2	14	7	5
Lentavirus PMBT5	0	0	0	0	0	0	0	0	0	0
Lentibacillus amyloliquefaciens	6	2	22	5	12	4	2	14	2	3
Lentibacillus sp. CBA3610	16	2	33	9	13	6	5	11	8	2
Lentibacter virus vB_LenP_ICBM2	0	0	0	0	0	0	0	0	1	0
Lentilactobacillus buchneri	0	0	14	1	4	2	2	5	4	2
Lentilactobacillus curieae	2	0	12	2	6	0	3	9	4	2
Lentilactobacillus hilgardii	6	1	26	6	9	6	2	24	5	2
Lentilactobacillus kefiri	2	1	10	3	9	1	6	8	5	0
Lentilactobacillus laojiaonis	4	1	8	2	1	2	3	7	1	0
Lentilactobacillus parabuchneri	2	2	9	4	5	1	3	7	3	3
Lentilitoribacter sp. Alg239-R112	9	1	28	10	16	5	5	6	8	2
Lentzea guizhouensis	74	4	194	135	106	18	25	20	34	16
Lentzea sp. HUAS12	49	14	165	98	101	27	30	25	42	15
Lenusvirus lenus	0	0	0	0	0	0	0	0	0	0
Leonardvirus ali17	0	0	0	0	0	0	0	0	0	0
Leonardvirus emoore	0	0	0	0	0	0	0	0	0	0
Lepidopteran iteradensovirus 3	0	0	0	0	0	0	0	0	0	0
Leporid alphaherpesvirus 4	0	0	2	0	1	0	0	0	0	0
Leptodesmis sichuanensis	0	0	0	0	0	0	0	0	0	0
Leptogranulimonas caecicola	4	0	13	14	7	14	2	15	5	3
Leptolyngbya boryana	16	0	32	16	9	3	7	8	0	7
Leptolyngbya sp. 7M	115	6	55	37	36	15	14	16	54	9
Leptolyngbya sp. BL0902	8	3	58	24	26	3	2	6	1	6
Leptolyngbya sp. NIES-3755	13	0	44	10	7	5	7	15	6	4
Leptolyngbya sp. PCC 6402	0	0	0	0	0	0	1	0	0	0
Leptolyngbya sp. PCC 7376	6	2	18	9	5	2	4	9	5	1
Leptolyngbya sp. PKUAC-SCTB231	8	3	29	7	10	4	2	8	4	1
Leptonychotes weddellii papillomavirus 3	0	0	2	0	0	0	0	0	0	0
Leptopilina boulardi filamentous virus	0	0	2	0	0	1	0	0	0	0
Leptospira biflexa	0	0	0	0	0	0	0	0	0	0
Leptospira borgpetersenii	19	2	15	4	8	2	1	6	4	1
Leptospira interrogans	8	0	23	2	6	4	9	4	9	3
Leptospira kirschneri	22	3	24	3	4	6	8	8	9	1
Leptospira kmetyi	7	2	20	7	8	6	5	2	7	1
Leptospira kobayashii	61	4	38	8	7	7	8	6	10	2
Leptospira mayottensis	9	2	32	5	5	1	5	4	6	3
Leptospira noguchii	42	4	56	8	16	8	21	7	13	7
Leptospira santarosai	21	3	33	9	8	1	7	3	6	2
Leptospira sp. mild_001	0	0	1	1	0	0	0	1	0	0
Leptospira tipperaryensis	27	0	29	5	7	5	8	7	7	5
Leptospira weilii	15	4	31	7	8	8	5	7	7	5
Leptospirillum ferriphilum	0	0	3	0	0	0	0	0	1	1
Leptospirillum ferrooxidans	0	0	0	0	2	0	1	0	0	0
Leptospirillum sp. Group II 'CF-1'	4	0	5	4	4	0	2	0	1	0
Leptothermofonsia sichuanensis	0	0	0	0	0	0	0	0	0	0
Leptothrix cholodnii	0	0	0	0	0	0	0	0	0	0
Leptotrichia buccalis	0	0	0	0	0	0	0	0	0	0
Leptotrichia hofstadii	10	3	22	6	3	9	4	18	9	12
Leptotrichia hongkongensis	3	2	8	2	3	5	4	18	0	16
Leptotrichia shahii	4	1	8	8	4	11	3	17	4	15
Leptotrichia sp. oral taxon 212	7	6	26	5	6	7	8	57	5	43
Leptotrichia sp. oral taxon 218	2	6	12	2	3	4	7	31	7	19
Leptotrichia sp. oral taxon 221	4	6	13	4	5	8	4	73	2	49
Leptotrichia sp. oral taxon 498	0	4	12	0	3	3	0	21	2	14
Leptotrichia sp. oral taxon 847	7	0	11	3	1	6	1	21	4	15
Leptotrichia trevisanii	11	2	36	4	8	26	6	22	4	26
Leptotrichia wadei	8	5	41	6	10	25	5	51	9	42
Lessievirus bcep22	0	0	0	0	0	0	0	0	0	0
Lessievirus bcepil02	0	0	0	0	0	0	0	0	0	0
Lessievirus bcepmigl	0	0	0	0	0	0	0	0	0	0
Lessievirus DC1	0	0	0	0	0	0	0	0	0	0
Leucobacter aridicollis	15	9	40	39	31	5	17	14	12	5
Leucobacter coleopterorum	11	9	31	49	13	5	4	12	8	4
Leucobacter denitrificans	10	6	14	19	11	4	10	16	4	7
Leucobacter insecticola	22	9	37	36	20	3	9	15	3	5
Leucobacter luti	13	8	37	43	22	5	11	22	4	7
Leucobacter muris	41	10	67	81	39	9	13	25	13	11
Leucobacter sp. CX169	19	21	41	47	36	8	6	75	7	8
Leucobacter sp. H21R-36	7	4	19	14	9	6	5	1	2	3
Leucobacter sp. H21R-40	12	4	25	18	12	0	5	2	4	5
Leucobacter sp. H25R-14	27	29	68	70	38	9	19	45	13	16
Leucobacter sp. NB 10	31	14	52	93	44	9	20	24	10	13
Leucobacter sp. Psy1	19	8	56	68	34	9	16	15	11	7
Leucobacter triazinivorans	33	22	77	142	42	18	22	31	18	15
Leucobacter viscericola	22	5	29	41	15	6	2	12	6	8
Leuconostoc carnosum	5	1	10	0	2	0	2	11	4	0
Leuconostoc citreum	5	6	12	8	2	4	1	23	2	0
Leuconostoc falkenbergense	0	1	2	3	0	3	0	3	0	3
Leuconostoc garlicum	0	3	2	1	0	3	0	3	1	0
Leuconostoc gelidum	5	2	7	4	5	4	3	3	3	2
Leuconostoc kimchii	0	0	1	0	0	0	0	1	0	0
Leuconostoc lactis	9	10	14	19	1	22	3	35	4	5
Leuconostoc mesenteroides	4	1	12	3	7	9	6	26	5	7
Leuconostoc pseudomesenteroides	7	0	15	7	1	11	7	27	1	15
Leuconostoc sp. C2	0	0	0	0	0	0	0	1	0	0
Leuconostoc sp. LN180020	0	0	1	0	0	0	0	0	0	0
Leuconostoc sp. MTCC 10508	0	0	0	0	0	0	1	2	0	0
Leuconostoc suionicum	0	0	0	0	0	0	0	0	1	0
Leuconostoc virus LNTR3	0	0	0	0	0	0	0	0	0	0
Levilactobacillus brevis	15	3	42	15	18	8	15	30	8	5
Levilactobacillus koreensis	7	2	10	10	4	2	6	6	0	0
Levilactobacillus suantsaii	2	0	9	2	3	4	0	7	0	0
Levilactobacillus zymae	2	2	18	13	10	0	4	7	1	3
Libanvirus ptim40	0	0	0	0	0	0	0	0	0	0
Liberibacter crescens	4	0	13	4	2	2	4	1	3	3
Lichenicola cladoniae	41	10	125	109	85	14	15	9	32	15
Lichenihabitans psoromatis	18	4	46	43	36	5	15	7	12	5
Lichenihabitans sp. PAMC28606	16	1	33	37	30	5	9	3	9	8
Lidleunavirus Ldl1	0	0	0	0	0	0	0	0	0	0
Lidleunavirus ViSo2018a	0	0	0	0	0	0	0	0	0	0
Liefievirus taheera	0	0	0	0	0	0	0	0	0	0
Lietduovirus LIET2	0	0	0	0	0	0	0	0	0	0
Lightbulbvirus Cba41	0	0	0	0	0	0	0	0	0	0
Ligilactobacillus acidipiscis	4	3	19	1	8	1	4	17	5	1
Ligilactobacillus agilis	11	13	18	6	3	13	0	16	8	3
Ligilactobacillus animalis	7	7	5	2	1	2	1	12	3	6
Ligilactobacillus murinus	5	3	16	3	3	13	3	13	2	5
Ligilactobacillus ruminis	8	19	17	21	26	599	4	49	4	9
Ligilactobacillus saerimneri	1	0	9	2	2	3	3	4	1	1
Ligilactobacillus salivarius	22	8	65	40	15	63	16	69	19	22
Lignipirellula cremea	52	8	261	196	130	14	33	7	43	7
Likavirus lorelei	0	0	0	0	0	0	0	0	0	0
Lilbeanievirus lilbeanie	0	0	0	0	0	0	0	0	0	0
Lillamyvirus lillamy	0	0	0	0	0	0	0	0	0	0
Lillamyvirus snork	0	0	0	0	0	0	0	0	0	0
Lilmcdreamyvirus lilmcdreamy	0	0	0	0	0	0	0	0	0	0
Limdunavirus LN03	0	0	0	0	0	0	0	0	0	0
Limihaloglobus sulfuriphilus	6	5	27	12	8	7	9	7	11	2
Limnobacter sp. SAORIC-580	27	16	40	30	27	15	19	18	9	12
Limnobaculum parvum	8	0	16	8	11	6	1	13	2	4
Limnochorda pilosa	10	5	62	38	48	11	9	6	7	5
Limnoglobus roseus	77	11	184	113	151	27	41	11	104	26
Limnohabitans sp. 103DPR2	82	127	46	36	30	20	86	126	17	37
Limnohabitans sp. 63ED37-2	204	197	77	115	77	39	170	239	52	54
Limnospira fusiformis	0	0	0	0	0	0	0	0	0	0
Limnospira indica	0	0	0	0	0	0	0	0	0	0
Limosilactobacillus fermentum	16	2	35	71	19	44	4	52	2	8
Limosilactobacillus frumenti	8	1	5	1	3	0	5	6	2	2
Limosilactobacillus gastricus	7	1	7	0	2	3	2	8	0	4
Limosilactobacillus mucosae	9	6	23	39	12	72	5	21	2	4
Limosilactobacillus oris	6	2	9	7	2	5	1	8	0	2
Limosilactobacillus panis	1	1	15	4	0	3	0	4	4	1
Limosilactobacillus pontis	3	1	13	5	5	6	2	5	2	0
Limosilactobacillus reuteri	29	7	53	16	13	17	12	54	13	11
Limosilactobacillus vaginalis	2	1	10	5	2	6	1	7	2	4
Linepithema humile entomopoxvirus 1	0	0	0	0	0	1	0	0	1	0
Lipsvirus ssm7	0	0	0	0	0	0	0	0	0	0
Liquorilactobacillus hordei	7	0	12	4	6	4	2	12	3	0
Liquorilactobacillus mali	9	4	15	2	5	1	7	12	2	6
Liquorilactobacillus nagelii	1	2	15	7	3	3	5	12	4	4
Listeria grayi	6	2	14	2	1	4	4	14	3	2
Listeria innocua	5	6	18	4	5	5	4	22	7	3
Listeria ivanovii	3	1	20	2	7	2	2	10	5	1
Listeria marthii	2	2	13	2	6	1	3	12	6	1
Listeria monocytogenes	24	10	64	11	24	17	22	74	18	14
Listeria seeligeri	4	0	14	2	7	4	7	15	5	1
Listeria sp. PSOL-1	7	3	7	1	5	1	6	14	2	1
Listeria weihenstephanensis	5	2	9	0	6	2	4	13	1	4
Listeria welshimeri	3	0	12	4	8	5	4	13	3	2
Listonella phage phiHSIC	0	0	8	24	0	0	0	0	0	0
Litoricola lipolytica	9	1	73	42	20	6	3	3	6	5
Litorilituus sediminis	10	3	36	8	8	2	3	8	7	3
Littlefixvirus littlefix	0	0	0	0	0	0	0	0	0	0
Litunavirus PA26	0	0	0	0	0	0	0	0	0	0
Llyrvirus SSKS1	0	0	0	0	0	0	0	0	0	0
Loessnervirus SSEM1	0	0	0	0	0	0	0	0	0	0
Loessnervirus Y2	0	0	0	0	0	0	0	0	0	0
Loigolactobacillus backii	5	1	9	0	3	5	4	13	3	1
Loigolactobacillus bifermentans	4	3	17	4	2	1	3	5	2	1
Loigolactobacillus coryniformis	5	2	21	8	7	2	1	30	1	0
Lokivirus loki	0	0	0	0	0	0	0	0	0	0
Loktanella salsilacus	32	21	83	124	42	9	18	9	8	3
Lomovskayavirus C31	0	0	0	0	0	1	0	0	0	0
Longicatena caecimuris	10	14	19	36	5	13	8	68	5	49
Lonomia obliqua nucleopolyhedrovirus	0	0	0	0	0	0	0	0	0	0
Lonsdalea britannica	16	3	25	19	13	15	9	8	3	6
Lonsdalea populi	10	5	55	27	17	16	5	4	5	5
Loudonvirus DTL	0	0	0	0	0	0	0	0	0	0
Lowelvirus tuscon4d	0	0	0	0	0	0	0	0	0	0
Lucheng Rn rat coronavirus	0	0	0	0	0	1	0	0	0	0
Luckytenvirus lucky10	0	0	0	0	0	0	0	0	0	0
Lughvirus lugh	0	0	0	0	0	0	0	0	0	0
Lumosvirus whirlwind	0	0	0	0	0	0	0	0	0	0
Luteibacter anthropi	33	8	84	67	56	16	34	13	33	10
Luteibacter pinisoli	44	5	93	83	58	13	28	10	32	13
Luteibacter rhizovicinus	0	0	0	0	0	0	0	0	0	0
Luteibacter sp. 321	52	11	124	87	79	8	38	10	31	11
Luteibacter sp. 335	38	10	85	77	50	18	28	11	29	8
Luteibacter sp. 353	38	7	78	73	48	9	30	7	28	12
Luteibacter sp. EIF3	49	8	105	95	57	9	32	10	42	12
Luteimicrobium xylanilyticum	45	11	70	82	43	6	22	16	13	11
Luteimonas chenhongjianii	51	21	111	95	74	21	35	29	41	12
Luteimonas fraxinea	67	20	136	139	72	30	40	22	22	16
Luteimonas granuli	44	24	110	94	103	29	24	24	35	10
Luteimonas sp. JM171	42	19	116	124	108	26	26	20	28	12
Luteimonas sp. MC1572	36	15	70	88	80	24	39	16	24	14
Luteimonas sp. MC1750	47	24	107	104	95	29	33	24	27	20
Luteimonas sp. MC1825	43	20	99	85	75	22	24	23	27	9
Luteimonas sp. S4-F44	51	16	127	104	95	26	50	20	39	15
Luteimonas sp. YGD11-2	45	24	127	147	78	27	25	23	45	10
Luteimonas yindakuii	37	25	103	90	85	28	27	12	27	10
Luteipulveratus mongoliensis	135	20	98	106	52	10	63	25	20	11
Luteitalea pratensis	121	15	143	82	194	10	40	3	52	12
Luteitalea sp. TBR-22	177	16	171	103	262	25	49	13	89	18
Luteithermobacter gelatinilyticus	12	3	102	77	25	7	9	6	9	2
Luteolibacter ambystomatis	53	11	101	106	61	19	22	12	43	8
Luteolibacter luteus	31	7	89	78	60	14	23	6	35	9
Lutibacter profundi	44	6	98	5	26	13	34	20	28	18
Lutibacter sp. A64	39	9	93	12	16	7	36	18	22	12
Lutibacter sp. A80	32	13	77	7	13	9	28	16	19	13
Luzseptimavirus KPP21	0	0	0	0	0	0	0	0	0	0
Lymantria dispar multiple nucleopolyhedrovirus	1	0	1	0	0	0	1	0	0	0
Lymantria xylina nucleopolyhedrovirus	1	0	2	0	1	0	0	0	1	0
Lymphocystis disease virus 1	0	0	1	0	0	0	0	0	0	0
Lymphocystis disease virus 2	0	0	0	0	0	0	0	0	0	0
Lymphocystis disease virus 4	1	0	0	0	1	0	1	2	1	2
Lymphocystis disease virus Sa	0	0	0	0	1	0	1	0	1	0
Lysinibacillus agricola	9	4	34	2	3	7	8	12	14	7
Lysinibacillus capsici	2	1	3	1	1	1	3	1	1	0
Lysinibacillus fusiformis	13	11	32	10	22	14	17	25	6	8
Lysinibacillus parviboronicapiens	7	3	15	4	8	2	4	15	6	5
Lysinibacillus sp. 2017	7	3	20	2	2	6	7	11	6	3
Lysinibacillus sp. ACHW1.5	3	0	5	1	3	3	2	5	2	0
Lysinibacillus sp. Ag94	10	2	24	11	6	6	10	17	5	4
Lysinibacillus sp. CD3-6	13	1	20	3	6	3	12	12	6	7
Lysinibacillus sp. GJ-1	0	0	3	1	0	0	0	2	2	1
Lysinibacillus sp. PLM2	11	3	25	5	2	9	5	13	9	7
Lysinibacillus sp. SGAir0095	15	0	32	3	8	5	8	11	7	6
Lysinibacillus sp. YS11	5	1	7	1	2	2	2	0	1	3
Lysinibacillus sphaericus	18	5	39	4	16	7	11	31	14	6
Lysinibacillus timonensis	8	3	23	4	12	7	4	19	6	2
Lysinibacillus varians	2	0	2	0	2	2	0	4	1	2
Lysobacter alkalisoli	62	32	150	141	111	33	67	34	41	17
Lysobacter antibioticus	82	33	194	148	136	43	82	29	58	19
Lysobacter arenosi	63	19	130	102	82	14	44	26	44	14
Lysobacter avium	17	2	38	26	18	4	12	13	2	2
Lysobacter capsici	188	61	301	295	248	47	153	59	106	34
Lysobacter caseinilyticus	0	0	2	0	0	0	0	0	0	0
Lysobacter ciconiae	16	6	40	19	28	12	15	12	16	3
Lysobacter enzymogenes	236	86	467	416	371	77	157	70	143	56
Lysobacter gummosus	10	4	31	25	17	3	14	5	14	4
Lysobacter luteus	77	28	116	133	123	16	45	21	56	15
Lysobacter lycopersici	82	85	125	188	194	37	82	137	59	37
Lysobacter maris	75	33	188	188	138	24	68	20	49	18
Lysobacter oculi	73	107	135	258	159	88	60	93	49	14
Lysobacter soli	120	51	232	220	176	30	72	43	91	17
Lysobacter solisilvae	86	27	145	164	129	30	44	30	48	12
Lysobacter sp. 5GHs7-4	83	41	157	137	120	31	51	32	42	17
Lysobacter sp. CJ11	41	14	56	52	36	13	35	17	24	6
Lysobacter sp. CW239	55	40	128	139	78	21	71	22	54	32
Lysobacter sp. H21R4	19	9	41	42	33	7	20	11	7	4
Lysobacter sp. H23M47	10	3	31	37	25	8	18	1	7	4
Lysobacter sp. HDW10	46	13	59	45	23	7	40	14	24	13
Lysobacter sp. K5869	57	20	111	94	82	14	50	21	31	18
Lysobacter sp. KIS68-7	70	31	131	114	117	15	60	27	67	10
Lysobacter sp. S4-A87	73	26	119	134	92	20	41	30	39	13
Lysobacter sp. TY2-98	97	36	123	149	125	23	66	38	53	14
Lysobacter terrestris	91	31	137	160	116	22	57	28	44	18
Lyssavirus duvenhage	0	0	0	1	0	0	0	0	0	0
Lyssavirus mokola	0	0	1	0	0	0	0	0	0	0
Macacine alphaherpesvirus 1	0	0	1	0	0	0	0	0	0	0
Macacine betaherpesvirus 3	0	0	1	0	0	0	0	0	0	0
Macacine betaherpesvirus 9	0	0	0	0	0	0	0	0	0	0
Macacine gammaherpesvirus 10	0	0	0	0	0	0	0	0	0	0
Macacine gammaherpesvirus 12	0	0	0	0	0	0	0	0	0	0
Macacine gammaherpesvirus 4	0	0	0	0	0	0	0	0	1	0
Macacine gammaherpesvirus 8	0	0	0	0	0	0	0	0	0	0
Macariavirus tuscon14g	0	0	0	0	0	0	0	0	0	0
Macdonaldcampvirus SB28	0	0	0	0	0	0	0	0	0	0
Machinavirus machina	0	0	0	1	0	0	0	0	0	0
Macrococcus armenti	13	6	24	3	4	4	6	20	10	6
Macrococcus bohemicus	5	0	16	1	0	1	1	9	2	2
Macrococcus brunensis	9	3	13	4	9	5	3	6	4	3
Macrococcus canis	6	8	26	8	14	7	8	18	10	7
Macrococcus caseolyticus	7	0	9	2	2	5	3	7	5	4
Macrococcus epidermidis	5	0	8	2	2	1	2	7	3	3
Macrococcus equipercicus	5	2	5	6	7	5	7	9	1	4
Macrococcus sp. IME1552	0	0	3	0	2	0	0	2	0	1
Macrosiphum euphorbiae virus 1	1	0	0	0	0	0	0	0	0	0
Maculvirus KF2	0	0	0	0	0	0	0	0	0	0
Maenadvirus maenad	0	0	0	0	0	0	0	0	0	0
Mageeibacillus indolicus	0	0	0	0	0	0	0	0	0	0
Magnaporthe oryzae virus 1	0	0	0	0	1	0	0	0	0	0
Magnetococcus marinus	0	0	0	0	0	0	0	0	0	0
Magnetospira sp. QH-2	17	6	167	113	62	13	7	7	17	5
Magnetospirillum gryphiswaldense	31	6	223	118	117	23	18	27	31	18
Magnetospirillum magneticum	0	0	0	0	0	0	0	0	0	0
Magnetospirillum sp. ME-1	21	10	121	72	108	15	13	9	19	9
Magnetospirillum sp. XM-1	39	6	124	103	99	18	20	15	21	18
Mahella australiensis	0	0	0	0	0	0	0	0	0	0
Mahlunavirus rarus	0	0	0	0	0	0	0	0	0	0
Mahstovirus faecalis	0	0	0	0	0	0	0	0	0	0
Maioricimonas rarisocia	59	8	208	137	150	14	36	7	72	11
Maize bushy stunt phytoplasma	0	0	1	0	1	0	0	0	0	0
Maize stripe tenuivirus	0	0	1	0	0	0	0	0	0	0
Makelovirus prm1	0	0	0	0	0	0	0	0	0	0
Mal de Rio Cuarto virus	0	0	1	0	0	0	0	0	0	0
Malaciobacter canalis	7	6	30	14	3	8	6	28	5	40
Malaciobacter halophilus	7	10	62	17	8	20	4	66	7	66
Malaciobacter marinus	7	4	23	10	2	7	6	35	6	21
Malaciobacter molluscorum	0	0	0	0	0	0	0	0	0	0
Malaciobacter mytili	0	0	0	0	0	0	0	0	0	0
Malaciobacter pacificus	6	14	108	217	8	26	5	250	9	219
Malacoplasma iowae	9	1	12	2	2	7	1	7	3	2
Malacoplasma penetrans	0	0	0	0	0	0	0	0	0	0
Malacosoma neustria nucleopolyhedrovirus	1	0	2	0	0	0	0	1	0	0
Malassezia restricta	9	4	26	14	20	4	3	2	5	0
Maldonado phlebovirus	0	0	0	0	0	0	0	0	0	0
Mameliella alba	32	19	216	345	72	21	26	19	16	12
Mamestra brassicae multiple nucleopolyhedrovirus	0	0	0	0	1	0	0	0	0	0
Mamestra configurata nucleopolyhedrovirus A	0	0	0	0	1	0	0	0	0	1
Mamestra configurata nucleopolyhedrovirus B	0	0	1	0	0	0	0	0	0	0
Mammaliicoccus lentus	7	0	23	1	6	2	4	17	6	4
Mammaliicoccus sciuri	36	15	78	10	21	22	29	58	16	17
Mammaliicoccus sp. Marseille-Q6498	8	1	23	4	6	4	5	9	7	2
Mammaliicoccus stepanovicii	4	3	17	4	8	2	8	18	3	2
Mammaliicoccus vitulinus	9	5	19	4	16	3	7	21	6	5
Mangrovibacillus cuniculi	8	2	14	3	6	1	3	9	7	3
Mangrovivirga cuniculi	38	5	94	12	23	3	40	8	28	10
Mannheimia bovis	6	1	14	16	3	1	1	1	2	2
Mannheimia granulomatis	16	6	40	36	13	9	10	7	8	6
